Country,Population,Alcohol_consumption_litrespercapita,GDP_per_capita,Continent
Sweden,10162300,8.93,52349,Europe
Switzerland,8514431,11.53,70597,Europe
Syria,19333464,0.24,1266,Asia
Tajikistan,9128131,3.28,3415,Asia
Tanzania,58090444,11.27,2590,Africa
Thailand,71127808,8.3,18096,Asia
Timor-Leste,1261850,2.17,3094,Asia
Togo,8046680,2.46,2061,Africa
Tonga,105167,0.8,6411,Oceania
Trinidad and Tobago,1504707,6.72,26250,North America
Tunisia,11933040,2.12,11385,Africa
Turkey,82809304,2.05,28318,Asia
Turkmenistan,6065072,4.93,14845,Asia
Tuvalu,10883,1.52,3946,Oceania
Uganda,41515400,15.09,2125,Africa
Ukraine,44446952,8.32,12337,Europe
United Arab Emirates,9140172,3.9,66968,Asia
United Kingdom,66432996,11.45,46853,Europe
United States of America,332140032,9.87,61586,North America
Uruguay,3427044,6.92,23035,South America
Uzbekistan,32449578,2.59,7083,Asia
Vanuatu,297307,2.25,3093,Oceania
Venezuela,29825652,4.14,3406,South America
Vietnam,94914328,8.66,7586,Asia
Yemen,30790514,0.05,824,Asia
Zambia,17835898,6.54,3522,Africa
Zimbabwe,15052191,4.67,3923,Africa
